paper_id,paper,doi,doi_url,year,title
REFINE-0332,"Li, H., Song, Q., Zhang, R., Zhou, Y., & Kong, Y. (2021). Enhanced temporal coupling between thalamus and dorsolateral prefrontal cortex mediates chronic low back pain and depression. Neural Plasticity, 2021. https://doi.org/10.1155/2021/7498714",10.1155/2021/7498714,https://doi.org/10.1155/2021/7498714,2021,Enhanced temporal coupling between thalamus and dorsolateral prefrontal cortex mediates chronic low back pain and depression
REFINE-0333,"Batail, J. M., Coloigner, J., Soulas, M., Robert, G., Barillot, C., & Drapier, D. (2020a). Structural abnormalities associated with poor outcome of a major depressive episode: The role of thalamus. Psychiatry Research - Neuroimaging, 305. https://doi.org/10.1016/j.pscychresns.2020.111158",10.1016/j.pscychresns.2020.111158,https://doi.org/10.1016/j.pscychresns.2020.111158,2020,Structural abnormalities associated with poor outcome of a major depressive episode: The role of thalamus
REFINE-0334,"Taylor, W. D., MacFall, J. R., Payne, M. E., McQuoid, D. R., Steffens, D. C., Provenzale, J. M., & Krishnan, R. R. (2005). Greater MRI lesion volumes in elderly depressed subjects than in control subjects. Psychiatry Research: Neuroimaging, 139(1), 1–7. https://doi.org/10.1016/j.pscychresns.2004.08.004",10.1016/j.pscychresns.2004.08.004,https://doi.org/10.1016/j.pscychresns.2004.08.004,2005,Greater MRI lesion volumes in elderly depressed subjects than in control subjects
REFINE-0335,"Bulubas, L., Padberg, F., Mezger, E., Suen, P., Bueno, P. v, Duran, F., Busatto, G., Amaro, E. Jr., Benseñor, I. M., Lotufo, P. A., Goerigk, S., Gattaz, W., Keeser, D., & Brunoni, A. R. (2021). Prefrontal resting-state connectivity and antidepressant response: No associations in the ELECT‑TDCS trial. European Archives of Psychiatry and Clinical Neuroscience, 271(1), 123–134. https://doi.org/10.1007/s00406-020-01187-y",10.1007/s00406-020-01187-y,https://doi.org/10.1007/s00406-020-01187-y,2021,Prefrontal resting-state connectivity and antidepressant response: No associations in the ELECT‑TDCS trial
REFINE-0336,"Khoury, J. E., Ahtam, B., Sisitsky, M., Ou, Y. M., Gagoski, B., Enlow, M. B., Teicher, M. H., Grant, P. E., & Lyons-Ruth, K. (2022). Maternal Childhood Maltreatment Is Associated With Lower Infant Gray Matter Volume and Amygdala Volume During the First Two Years of Life. BIOLOGICAL PSYCHIATRY: GLOBAL OPEN SCIENCE, 2(4), 440–449. https://doi.org/10.1016/j.bpsgos.2021.09.005",10.1016/j.bpsgos.2021.09.005,https://doi.org/10.1016/j.bpsgos.2021.09.005,2022,Maternal Childhood Maltreatment Is Associated With Lower Infant Gray Matter Volume and Amygdala Volume During the First Two Years of Life
REFINE-0337,"Harika-Germaneau, G., Wassouf, I., le Tutour, T., Guillevin, R., Doolub, D., Rostami, R., Delbreil, A., Langbour, N., & Jaafari, N. (2022). Baseline clinical and neuroimaging biomarkers of treatment response to high-frequency rTMS over the left DLPFC for resistant depression. Frontiers in Psychiatry, 13. https://doi.org/10.3389/fpsyt.2022.894473",10.3389/fpsyt.2022.894473,https://doi.org/10.3389/fpsyt.2022.894473,2022,Baseline clinical and neuroimaging biomarkers of treatment response to high-frequency rTMS over the left DLPFC for resistant depression
REFINE-0338,"Khalaf, A., Edelman, K., Tudorascu, D., Andreescu, C., Reynolds, C. F., & Aizenstein, H. (2015). White matter hyperintensity accumulation during treatment of late-life depression. Neuropsychopharmacology, 40(13), 3027–3035. https://doi.org/10.1038/npp.2015.158",10.1038/npp.2015.158,https://doi.org/10.1038/npp.2015.158,2015,White matter hyperintensity accumulation during treatment of late-life depression
REFINE-0339,"Kong, F., Ding, K., Yang, Z., Dang, X., Hu, S., Song, Y., & Liu, J. (2015). Examining gray matter structures associated with individual differences in global life satisfaction in a large sample of young adults. Social Cognitive and Affective Neuroscience, 10(7), 952–960. https://doi.org/10.1093/scan/nsu144",10.1093/scan/nsu144,https://doi.org/10.1093/scan/nsu144,2015,Examining gray matter structures associated with individual differences in global life satisfaction in a large sample of young adults
REFINE-0340,"de Araújo, C. M., Hudziak, J., Crocetti, D., Wymbs, N. F., Montalvo-Ortiz, J. L., Orr, C., Albaugh, M. D., Althoff, R. R., O’Loughlin, K., Holbrook, H., Garavan, H., Yang, B. Z., Mostofsky, S., Jackowski, A., Lee, R. S., Gelernter, J., & Kaufman, J. (2020). Tubulin Polymerization Promoting Protein (TPPP) gene methylation and corpus callosum measures in maltreated children. Psychiatry Research - Neuroimaging, 298. https://doi.org/10.1016/j.pscychresns.2020.111058",10.1016/j.pscychresns.2020.111058,https://doi.org/10.1016/j.pscychresns.2020.111058,2020,Tubulin Polymerization Promoting Protein (TPPP) gene methylation and corpus callosum measures in maltreated children
REFINE-0341,"Barch, D. M., Tillman, R., Kelly, D., Whalen, D., Gilbert, K., & Luby, J. L. (2019). Hippocampal volume and depression among young children. Psychiatry Research: Neuroimaging, 288, 21–28. https://doi.org/10.1016/j.pscychresns.2019.04.012",10.1016/j.pscychresns.2019.04.012,https://doi.org/10.1016/j.pscychresns.2019.04.012,2019,Hippocampal volume and depression among young children
