paper_id,title,doi,openalex_id,status,pdf_path,oa_status,license,error_message
REFINE-0001,Down-regulated miR-16-2 in peripheral blood is positively correlated with decreased bilateral insula volume in patients with major depressive disorder,10.1016/J.JAD.2023.05.068,https://openalex.org/W4378417519,no_pdf,data/pdfs/REFINE-0001.pdf,,,No PDF URL found in OpenAlex record
REFINE-0002,Sex-specific grey matter abnormalities in individuals with chronic insomnia,10.1007/S10072-023-07224-7,https://openalex.org/W4389483173,no_pdf,data/pdfs/REFINE-0002.pdf,,,No PDF URL found in OpenAlex record
REFINE-0003,FKBP5 is associated with amygdala volume in the human brain and mood state: A voxel-based morphometry (VBM) study,10.3109/13651501.2016.1144772,https://openalex.org/W2300623301,no_pdf,data/pdfs/REFINE-0003.pdf,,,No PDF URL found in OpenAlex record
